TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014.00,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015.00,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016.00,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017.00,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018.00,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019.00,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020.00,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021.00,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022.00,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023.00,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
France,7475030386,7248434760,7659544436,7539860788,7018698450,7286051138,7546886572,6278737482,8250471045,8398201069,7346896175,7358454239,89407266540,7312472490,7322683113,7995927579,7111442414,6794916615,7920631567,7125329441,6056571682,7692484893,7710576036,7173654199,7204628525,87421318554,6905804285,7245192985,7672505350,7028668429,6872431721,7510770773,6426663650,6317351450,7580265351,7343922266,7604885727,7405147192,85913609179,7390177855,7258068573,8383234697,7250197797,7471919159,7855210788,7067693451,6449544227,7620282944,8012404400,7838735535,7093266999,89690736425,7909756056,7586817865,8310406680,7376263241,7532238056,8216836813,7881714713,6860869794,7690044840,8626892707,8320734857,7218933677,93531509299,7725050198,7613043313,8010255099,7857660252,8225542191,7928679505,8048924459,6466248604,7585810525,8230568865,7528888404,7366551674,92587223089,7687894368,7366950148,6772680929,5020689200,5558771790,7045474195,6672795153,5878212673,7465450120,7537969531,6931188124,6790691561,80728767792,7355145023,7276330691,8790559206,7764446612,7458227141,8862839832,7819504153,7875361268,9326240384,9531279469,10058283481,10349557730,1.02468E+11,10347181315,10105079066,12518477148,10823481520,11004509129,11833966328,10778076664,10960986784,12439978501,11879337560,11857148922,12229365107,1.36778E+11,11874562467,11313001420,13519590258,10779021181,10501900067,11800825108,10821157415,10345824549,10065790071,10500114971,9885040401,9249069122,1.30656E+11,9447255742,9547798135,10675350594,10626398714,10424120337,11529331955,9579670502,8563119520,9126065370,10316464188,9481748679,#VALUE!,#VALUE!
Greece,123055478,117738072,124229610,146395335,130452583,148549539,142290931,117780677,158461001,167695190,142840799,136897419,1656386634,137592706,136139707,164842808,170380157,147145142,179624718,128294106,115819699,151778813,180594571,141060579,137426376,1790699382,134530875,145157563,183930335,154197245,165235969,177997693,150845696,153957019,200598192,153124953,166357612,157590899,1943524051,153737061,189496912,213595629,149547565,195683840,207040387,198754465,167439200,191934040,187835820,153592642,162151925,2170809486,168601601,160328006,179786242,165311413,196771234,213200690,183109635,168303545,157637542,206826820,184595194,143665412,2128137334,171746655,200597184,173580714,167177939,184107545,210771234,209775908,158726741,200276376,201055375,173306278,156115870,2207237819,189724335,196410062,178051298,148333844,145477268,180229001,168408281,147946838,168438356,173935967,161823006,168803260,2027581516,171811888,175069022,219245915,195774393,190474373,293488732,227208442,158980594,245944306,239409684,220480685,219105906,2556993940,256812961,252421657,287922745,313003008,270976375,284305114,278332539,215382554,248339369,253638284,265819056,216847531,3143801193,246835265,226557850,270969787,244093377,292525300,286779530,245416033,213868791,253959278,274295031,271928316,200562942,3027791500,241259254,264182910,264308330,299580914,233450625,245919894,270699068,210824006,259836976,241470370,247671724,199106150,2978310221
Croatia,29319893,29018467,35216229,35934616,37666184,32275306,36749424,28941892,54269752,37710656,35709122,34277826,427089368,31996767,35448392,42173136,47910110,33487396,42804132,42880240,33769096,40210366,40644616,43448443,42816129,477588822,38395798,42202994,43716520,38249066,34502537,38123407,51824184,41039538,43869089,43136297,41334908,46033125,502427463,42584750,45729983,64217389,50653178,53509748,49263076,49378437,96610133,68622592,75191609,63476786,50368760,709606439,44053822,49843281,64314722,56055811,55821873,56599008,52244505,41703094,52068484,74695827,59902782,43160929,650464139,44934011,59078825,57291702,58938624,67325599,47702409,61517721,48871925,55853342,82665300,74967518,55135843,714282822,73795119,108157325,85806488,75123923,65722652,106560060,91949690,64129727,79226653,64690865,83629904,85635252,984427658,61214140,73304655,70303490,68299459,66927493,71149253,63106245,52677330,73029608,78120595,68716452,80581580,827430299,77402587,70204631,92278450,71451932,68981770,75193014,70170723,65710413,76065723,83391966,84733946,85233164,920818319,75500212,76820229,79801119,68773979,85500765,94858509,69738410,70905947,68222782,102165370,80066265,79695961,952049548,69457881,81065975,73543521,73307315,82506956,84145048,82156835,79417435,77525665,80560582,86709403,#VALUE!,#VALUE!
Hungary,264677578,271134817,284697307,286379529,266783348,314317048,318765594,246922724,304296601,294084850,309005939,245644328,3406709664,278056776,294285605,339447124,317803466,274656270,327256565,288302953,271058687,318474958,321339669,297090728,259588772,3587361573,294854710,316509881,315602758,323557185,302564159,320206274,286562510,277218572,302755482,298422015,334116173,273734380,3646104099,288689708,323165067,360038236,315108818,375021072,366224455,286096570,304098530,360737060,368473433,369017597,278001794,3994672338,354284724,350484102,361265023,378465201,383523854,408266449,349508434,372971257,420720537,419595607,438477579,386740732,4624303500,434031329,430092903,462950438,426747933,444913917,410602836,437677673,406279472,451280830,484058273,458394194,389414484,5236444282,465798785,495835883,418926510,251695710,326635613,369940420,349188383,406270689,480568359,458798930,502048036,411110275,4936817593,395076906,406263456,504393198,448567888,429342759,508371466,431339763,373948667,441720775,449178396,498402773,405348140,5291954190,453220651,492697393,577916596,489221110,516232019,502441107,447306167,498804300,652509960,537091967,579976411,468701217,6216118899,517404175,566338515,644206820,515332590,614789936,673406130,462828261,529953134,621915260,633194541,579767713,470058749,6829195824,600808891,574629681,561785241,562416832,512684012,533991704,466155037,432781761,472026156,541880464,498272504,#VALUE!,#VALUE!
Ireland,981882106,1160475636,1147060286,897025537,1151643679,847443109,945985132,1148850088,1308666951,1396999192,1211535437,999992951,13197560104,1111488246,1139141695,1256220350,1475533712,1329466790,1621172967,1373964229,1174508746,1377335768,1480104778,1638402252,1118999989,16096339522,1537118304,1412468649,1166023698,1387148011,1228263323,1385446708,1207782656,1694704688,1323210382,1422797635,1363300397,1154891946,16283156397,1386975304,1244422138,1554538148,839214852,1471409514,1186562267,1216430768,1006942544,1034992689,1299925715,991531238,1757180780,14990125957,1588382183,1672643601,1853896255,1452591636,1577374158,1748575299,1578542831,1694782433,1896650227,1420003963,1829244087,1949549223,20262235896,2386412044,1786476247,1397909438,1329170697,1648185606,1482442558,1649965664,930912894,1057546068,2001316517,882750452,1100563546,17653651731,2199063870,1297187567,2101687987,1530502032,1600179996,1975713456,1513508861,2411273994,1375908680,986347925,2105400227,1289705404,20386479999,1509474163,1168314235,1113477072,1253107417,2302721419,1471046454,934911609,1215412020,1369536429,1758622893,1948078639,1303325867,17348028217,2000737681,1346280326,1553881231,1817668577,1436783508,1803058776,1796728543,2596338112,1920430800,2197620830,1798653999,1158693330,21426875713,1745075122,1933049972,1695241144,2489390929,1684761465,1996630311,1903625242,2219644020,2190923646,1803671124,1773545967,1465480814,22901039756,1578594406,1321354374,2264748804,2109753541,1291524316,1729877374,1239853509,1712792349,2991061717,2298216972,1764642839,1017885241,21320305442
Italy,2355884290,2360067754,2563001823,2192232971,2319988039,2415513047,2341477205,1762057901,2806478748,2722624094,2297978240,2140978702,28278282814,2420164896,2294411386,2662271352,2541458107,2569462397,2950728945,2978374451,1715353051,2961902773,2711749401,2497604126,2336976425,30640457310,2502107802,2832961802,2932302612,2453513514,2681189803,2861122190,2593303216,1952373930,2561540468,2826358602,2737656142,2346548045,31280978126,2327409489,2651754439,3036505805,2348762323,2766083246,2875341734,2858815387,2085513451,2543691930,2719941490,2770665412,2248184319,31232669025,2792840007,2529280330,2994934677,2430973928,2871027938,2886944994,2909081887,2002501552,2756027646,3254476528,2926215115,2239367025,32593671627,2631458856,2843338044,3082929714,2688850020,3015013431,2866699412,3032077882,2119316100,2964607595,3248384696,3141845269,2408519964,34043040983,3247814242,3068325034,2783467944,2168361493,2513485264,2954145589,2890450494,2109399253,3028565298,2834407489,2794845518,2739925931,33133193549,2678477546,2831683382,3479903402,3274828611,3356688414,3288817272,3171570658,2683655605,3703588220,3561293916,3821102872,3223743712,39075353610,3633875840,3915045349,4177311914,3763721098,4194976775,4395128552,5334421524,3135595035,3965407132,4220075083,4317744465,3480600471,48533903238,3857835902,3970512501,4169545454,3355530672,3827002767,4069589543,3587649963,2908217318,3864858841,4071806624,4513735648,3324798423,45521083656,3680765835,4151398606,4038688766,3820914635,3621352565,3525122653,4020701398,2862952394,3904121923,4403096153,4109144383,#VALUE!,#VALUE!
Lithuania,90717595,92206028,125318389,135439134,96575214,105593424,117024064,100991846,111944021,112249749,93908288,88152509,1270120262,80012599,76106481,113966871,102029118,93800963,91498022,96378744,84966482,102711382,122573391,95165819,84058316,1143268188,83687727,95099180,89163917,95967257,89205284,92372262,87442716,81722135,109542572,93179341,97024177,94003579,1108410147,97411856,103957894,125238544,109165378,122370965,107440835,103326158,103966661,112133766,115803707,117775410,122566107,1341157281,102927266,111050350,117325175,132104555,120098528,123930685,117809032,115036879,113744625,124409496,121569568,129095876,1429102035,115921992,107363671,125040398,112523201,105860805,117130866,133628912,109964769,123634377,115318958,113829970,105092545,1385310464,114518236,103359257,123337647,88503501,91524668,101968933,101229454,144026318,112534739,130754616,122028579,110459262,1344245210,99769038,109938737,170955203,130992813,119652085,138555286,140039827,131031251,138347479,143178530,148041946,143717197,1614219392,140376577,145774060,152804583,140083811,142483825,121022332,127937310,163159281,188171040,147812023,125347345,146074022,1741046209,126424428,123676737,128253130,109490020,124851506,133639453,105360022,125093472,122619919,169132143,121687366,113154772,1503382968,111652951,136142934,134727443,131159261,143064660,131797554,129885421,118688904,129322991,127029183,122812510,138096338,1554380150
Luxembourg,687366539,666543352,768546253,733328484,697596701,699951021,678442154,635996429,705053696,712521765,750292164,767340570,8502979128,613445036,672896400,791542597,726321987,710541593,748011559,678831770,593990775,710327421,728663947,695092537,731407116,8401072738,621594155,668675827,748908894,718419168,694999266,743334215,644791670,591947644,679891193,683206985,713845859,722896490,8232511366,680823950,714111639,843503507,720517631,798237342,760211812,705315198,657274555,727309341,794621529,788015745,714678191,8904620440,733915018,767119203,880398322,778143724,820500547,790467714,681891791,657623932,700663274,852979999,775791712,699240233,9138735469,758413614,713463899,804521881,790865748,781789023,736414148,727781424,642452017,727452247,796805219,750349110,730504858,8960813188,758595473,668273085,645760054,423741179,518467594,650144478,697985682,576822341,704852543,734211608,673790048,699234797,7751878882,636431861,682088479,807329815,748493092,719357154,762371316,736654923,611622986,765183465,815715967,860309206,847295112,8992853376,875102884,869262110,1042134564,948091119,912115844,963080094,852925511,849585997,997195507,993839682,949394800,932470390,11185198502,926164660,903064135,967014906,841744463,847932195,883898548,786510855,757894885,796465220,878967627,855830721,817443586,10262931801,791724701,825338267,861351233,790254151,795701072,815450844,826358058,705394345,791871526,865009626,786937136,#VALUE!,#VALUE!
Latvia,26886298,28027740,36974067,28635960,25856120,27299741,23348045,22338178,29235945,28961545,22117879,24738597,324420115,21447772,25661847,29127748,27542486,25353484,29182284,27782624,21627188,29887972,40062710,29896290,25511112,333083517,23325630,24803922,28757326,30127443,28119151,28829923,25272943,30540011,40055587,32804330,30849340,29717417,353203023,28184844,33552501,45853612,32214992,35801760,33453052,29725958,30240570,46843772,43240757,34148787,30355149,423615754,32534933,34310818,40728588,41692401,36982803,40121378,32795132,32523362,33334662,39166117,33539406,28889247,426618847,32258931,36642260,41543697,37528070,38660914,35866328,38914534,32954745,34310542,39000643,47493182,33406956,448580802,32431638,38097862,44624109,29522133,25869978,31643951,34269184,32508750,36201184,54127659,40958587,35329140,435584175,37367509,43041875,58691685,49689631,49033731,70346140,44162975,47805927,51803590,50079586,66539000,64050877,632612526,62049012,57483180,65321091,68313148,78911863,68612977,59118303,63321792,72536790,70948801,63829346,48564561,779010864,56099641,61271273,72199436,61551718,61745360,65075718,62295802,55890395,67740351,66236011,57147424,62471673,749724802,64363608,51317302,69522736,65665200,65155881,64100865,60958614,46828885,56002690,65966673,49751792,65583082,725217328
Malta,6644478,5877829,19331565,7707741,6685119,6891554,7592228,5518127,7960361,7937139,6180385,16811900,105138426,5645290,40433599,7620759,6992186,7066712,28511465,6871821,7477834,9593215,8592663,8266131,7117195,144188870,5525036,7751510,7059359,10619813,8889913,7388360,18056965,8324020,8324020,8863477,6794345,10209431,107806249,6433870,6543382,13291513,6918413,8450391,8029043,8329549,7987431,7541290,21546405,10426347,6988374,112486008,60771601,7688179,7871561,8138899,11763672,7004351,6412404,7971731,5149536,26195702,7708910,6040701,162717247,6640831,5939537,6568258,7600439,6759311,24623675,7877664,5288887,7568290,7995816,10095136,27376205,124334049,9614463,6544858,6373949,7120611,5944190,28782338,5760579,5718185,6097546,7430638,6716198,5268995,101372550,6519056,7593713,7912151,7390509,7876848,8205418,6995027,6300142,7726706,7789879,8140768,6483496,88933713,14365332,10590254,10520933,9705550,11969089,10364916,11377165,8908397,10378364,9824387,8726582,10917921,127648890,10566371,9402484,11729968,9370105,11694903,11043632,15196145,14548840,11714862,50076005,11769418,8864475,175977208,13283361,10269186,11049968,14426651,11247646,14238730,11602049,10925087,10669356,14978385,22078249,#VALUE!,#VALUE!
Netherlands,8343936612,7944867328,8780757459,8534116751,8532891224,8565875355,8576333671,7878936437,9012754381,9093759009,7859434661,7981653274,1.01105E+11,7437347009,7447127715,8356632779,8058361585,7930634642,8871545754,8028686465,7176319211,7968442932,8217827717,7793776030,8054714668,95341416507,7235278975,7057945479,7952640616,7562674093,7760823989,8162061679,7430462231,7457818123,7902827321,8150648300,8334903357,8553284236,93561368399,8673622624,8540159167,9758323740,8210212228,8841099805,8814279963,7959565678,8590183115,8717104136,8909818099,9477424518,9106167664,1.05598E+11,9268165844,8799689947,9246360573,8591438984,9447119556,9545751899,9326459431,9128619980,9398761924,10720581543,10045904329,9041877085,1.12561E+11,9352653923,9070678327,10061731866,10096481023,10044410978,9311822926,9039469504,8617424130,9548416860,10066205923,9749845410,9936705859,1.14896E+11,9805805479,8926970321,8698705818,6836492197,7105485438,8408155364,8435890938,8124073402,8843606635,8716098508,9223587082,9649863948,1.02775E+11,9049925273,9338775866,11150759376,10197325891,10472337112,11058006965,11015302668,10539470958,11943731913,12169317409,13018458942,12819612475,1.32773E+11,12266018777,12657732305,15262960003,13726134372,15600356891,16203502192,14409311448,15126717369,16070008690,15589021809,15540903928,14245010094,1.76698E+11,13836063831,13328680118,14584486415,13171729272,13646259026,13890756530,13179475707,13282769487,13414764877,13683804238,13754979350,12537896827,1.62312E+11,13339437023,12770152296,13774563152,14195864417,13643195252,13112518732,13416163129,12348141868,12663248486,14493762579,13111092727,#VALUE!,#VALUE!
